,manga_id,Title,url
2056,50351,Dekiai Kyoushi no Kanpeki sugiru Hanayome Curriculum: Kobetsu Jugyou wa Amakute Koime ni Torokeru Misshitsu Time (Light Novel),https://www.anime-planet.com/manga/dekiai-kyoushi-no-kanpeki-sugiru-hanayome-curriculum-kobetsu-jugyou-wa-amakute-koime-ni-torokeru-misshitsu-time-light-novel
2057,88118,"Dekiai Neya Koubousen! Seiryaku Kekkon no Hazu no Shoukoku no Oujo deshita ga, Koutei Heika no Taisetsu na Kazoku ni Narimasu (Light Novel)",https://www.anime-planet.com/manga/dekiai-neya-koubousen-seiryaku-kekkon-no-hazu-no-shoukoku-no-oujo-deshita-ga-koutei-heika-no-taisetsu-na-kazoku-ni-narimasu-light-novel
2058,23206,Dekiai no Gosan (Light Novel),https://www.anime-planet.com/manga/dekiai-no-gosan-light-novel
2059,47253,Dekiai Ouji no Midara na Chouai: Kyuukon Enbukyoku (Light Novel),https://www.anime-planet.com/manga/dekiai-ouji-no-midara-na-chouai-kyuukon-enbukyoku-light-novel
2060,42114,Dekiai Princess no Wana (Light Novel),https://www.anime-planet.com/manga/dekiai-princess-no-wana-light-novel
2061,83279,Dekiai Ryuujin to Rinne no Koi (Light Novel),https://www.anime-planet.com/manga/dekiai-ryuujin-to-rinne-no-koi-light-novel
2062,30596,"Dekiai Shachou ni Tsukamatte, Ore no Douga Haishin ga Dai Pinchi! (Light Novel)",https://www.anime-planet.com/manga/dekiai-shachou-ni-tsukamatte-ore-no-douga-haishin-ga-dai-pinchi-light-novel
2063,50029,Dekiai Shachou wa Okute Otome ni Goshuushin (Light Novel),https://www.anime-planet.com/manga/dekiai-shachou-wa-okute-otome-ni-goshuushin-light-novel
2064,46855,Dekiai Shigan: Koibito wa Ori no Naka (Light Novel),https://www.anime-planet.com/manga/dekiai-shigan-koibito-wa-ori-no-naka-light-novel
2065,39861,Dekiai Shinkanou no Unmei no Tsugai: Ihou no Omega ni Ai wo Koe (Light Novel),https://www.anime-planet.com/manga/dekiai-shinkanou-no-unmei-no-tsugai-ihou-no-omega-ni-ai-wo-koe-light-novel
2066,31972,Dekiai Shinkanou no Unmei no Tsugai: Isekai ni Tobasaretara Omega Deshita (Light Novel),https://www.anime-planet.com/manga/dekiai-shinkanou-no-unmei-no-tsugai-isekai-ni-tobasaretara-omega-deshita-light-novel
2067,50381,Dekiai Shisugiru Kare no Kimochi ni Kizuitara (Light Novel),https://www.anime-planet.com/manga/dekiai-shisugiru-kare-no-kimochi-ni-kizuitara-light-novel
2068,83062,Dekiai Sweet Home (Light Novel),https://www.anime-planet.com/manga/dekiai-sweet-home-light-novel
2069,54550,Dekiai Wedding (Light Novel),https://www.anime-planet.com/manga/dekiai-wedding-light-novel
2070,38863,Dekiai Wedding: Ringo-hime no Midara na Mitsugetsu (Light Novel),https://www.anime-planet.com/manga/dekiai-wedding-ringo-hime-no-midara-na-mitsugetsu-light-novel
2071,92144,"Dekiai Zentei, Oresama Doctor wa Junshin Hisho wo Torae Metoru (Light Novel)",https://www.anime-planet.com/manga/dekiai-zentei-oresama-doctor-wa-junshin-hisho-wo-torae-metoru-light-novel
2072,49361,Dekidekiai: Oresama Fugou to Kichiku Shishaku ni Aisarete (Light Novel),https://www.anime-planet.com/manga/dekidekiai-oresama-fugou-to-kichiku-shishaku-ni-aisarete-light-novel
2073,88950,Dekisokonai no Fairy Tail (Light Novel),https://www.anime-planet.com/manga/dekisokonai-no-fairy-tail-light-novel
2074,49566,Dekisokonai no Monster Trainer (Light Novel),https://www.anime-planet.com/manga/dekisokonai-no-monster-trainer-light-novel
2075,47671,Dekotsun (Light Novel),https://www.anime-planet.com/manga/dekotsun-light-novel
2076,25900,Delete: Kioku no Sukima wa H de Anaume (Light Novel),https://www.anime-planet.com/manga/delete-kioku-no-sukima-wa-h-de-anaume-light-novel
2077,54507,"Deli Heal Dungeon: Kojirase Maou, Fuzoku Keiei Hajimemashita (Light Novel)",https://www.anime-planet.com/manga/deli-heal-dungeon-kojirase-maou-fuzoku-keiei-hajimemashita-light-novel
2078,63995,Dementalman: Lloyd no Karute (Light Novel),https://www.anime-planet.com/manga/dementalman-lloyd-no-karute-light-novel
2079,97202,Demodori Majo no Konkatsu: Egao no Suteki na Ryoshu no Musuko (Light Novel),https://www.anime-planet.com/manga/demodori-majo-no-konkatsu-egao-no-suteki-na-ryoshu-no-musuko-light-novel
2080,101164,Demodori Yuusha no Kimagure Menu (Light Novel),https://www.anime-planet.com/manga/demodori-yuusha-no-kimagure-menu-light-novel
2081,58646,Demodori Yuusha to Bijo Maou (Light Novel),https://www.anime-planet.com/manga/demodori-yuusha-to-bijo-maou-light-novel
